vehicle_number,violations
FKN00GL54261,16
FKN00GL4516,16
FKN00GL2353,16
FKN00GL101845,16
FKN00GL23586,16
FKN00GL38195,16
FKN00GL50347,16
FKN00GL11800,16
FKN00GL27365,16
FKN00GL6175,16
FKN00GL32407,16
FKN00GL0088,16
FKN00GL15781,16
FKN00GL9159,16
FKN00GL32527,16
FKN00GL62335,16
FKN00GL16984,16
FKN00GL7945,16
FKN00GL1473,16
FKN00GL15642,16
FKN00GL49799,16
FKN00GL14734,16
FKN00GL6630,16
FKN00GL16534,16
FKN00GL3242,16
FKN00GL10586,16
FKN00GL2996,16
FKN00GL17572,16
FKN00GL40079,16
FKN00GL8470,15
FKN00GL0085,15
FKN00GL14101,15
FKN00GL18326,15
FKN00GL26490,15
FKN00GL2687,15
FKN00GL18293,15
FKN00GL18220,15
FKN00GL31294,15
FKN00GL7168,15
FKN00GL12424,15
FKN00GL0935,15
FKN00GL26521,15
FKN00GL11663,15
FKN00GL7134,15
FKN00GL86275,15
FKN00GL27266,15
FKN00GL17806,15
FKN00GL0369,15
FKN00GL11030,15
FKN00GL4211,15
FKN00GL44125,15
FKN00GL15995,15
FKN00GL2378,15
FKN00GL10011,15
FKN00GL11015,15
FKN00GL8261,15
FKN00GL1911,15
FKN00GL17374,15
FKN00GL45098,15
FKN00GL10599,15
FKN00GL8211,15
FKN00GL26501,15
FKN00GL14755,15
FKN00GL38849,15
FKN00GL5016,15
FKN00GL14388,15
FKN00GL41594,15
FKN00GL1301,15
FKN00GL4184,15
FKN00GL19357,15
FKN00GL8821,15
FKN00GL20686,15
FKN00GL14081,15
FKN00GL18450,15
FKN00GL2615,14
FKN00GL20859,14
FKN00GL50737,14
FKN00GL29737,14
FKN00GL5137,14
FKN00GL23218,14
FKN00GL16589,14
FKN00GL7052,14
FKN00GL53686,14
FKN00GL113789,14
FKN00GL16636,14
FKN00GL25810,14
FKN00GL15777,14
FKN00GL24041,14
FKN00GL23892,14
FKN00GL32688,14
FKN00GL3284,14
FKN00GL42010,14
FKN00GL4734,14
FKN00GL94778,14
FKN00GL19727,14
FKN00GL8164,14
FKN00GL3173,14
FKN00GL63327,14
FKN00GL30830,14
FKN00GL0373,14
FKN00GL5790,14
FKN00GL5140,14
FKN00GL17849,14
FKN00GL18558,14
FKN00GL37015,14
FKN00GL35455,14
FKN00GL1530,14
FKN00GL26291,14
FKN00GL13296,14
FKN00GL25393,14
FKN00GL23579,14
FKN00GL23020,14
FKN00GL26487,14
FKN00GL62141,14
FKN00GL4517,14
FKN00GL34407,14
FKN00GL122867,14
FKN00GL39674,14
FKN00GL19099,14
FKN00GL12906,14
FKN00GL2190,13
FKN00GL1960,13
FKN00GL5390,13
FKN00GL76628,13
FKN00GL6420,13
FKN00GL103735,13
FKN00GL122435,13
FKN00GL114057,13
FKN00GL111835,13
FKN00GL12846,13
FKN00GL48931,13
FKN00GL6480,13
FKN00GL32683,13
FKN00GL44458,13
FKN00GL2891,13
FKN00GL7084,13
FKN00GL32518,13
FKN00GL9880,13
FKN00GL72851,13
FKN00GL1053,13
FKN00GL23215,13
FKN00GL6855,13
FKN00GL11524,13
FKN00GL0147,13
FKN00GL5704,13
FKN00GL3007,13
FKN00GL14458,13
FKN00GL115942,13
FKN00GL16436,13
FKN00GL5756,13
FKN00GL6089,13
FKN00GL7697,13
FKN00GL43944,13
FKN00GL20782,13
FKN00GL2927,13
FKN00GL17669,13
FKN00GL69641,13
FKN00GL12648,13
FKN00GL31873,13
FKN00GL27384,13
FKN00GL3213,13
FKN00GL11665,13
FKN00GL5752,13
FKN00GL6174,13
FKN00GL15299,13
FKN00GL0330,13
FKN00GL76754,13
FKN00GL26488,13
FKN00GL7795,13
FKN00GL21328,13
FKN00GL17792,13
FKN00GL1104,13
FKN00GL53263,13
FKN00GL115574,13
FKN00GL1620,13
FKN00GL50547,13
FKN00GL100448,13
FKN00GL0921,13
FKN00GL37361,13
FKN00GL54853,13
FKN00GL96078,13
FKN00GL50810,13
FKN00GL43870,13
FKN00GL67984,13
FKN00GL28769,13
FKN00GL5761,13
FKN00GL36866,12
FKN00GL8474,12
FKN00GL18217,12
FKN00GL36086,12
FKN00GL14083,12
FKN00GL14089,12
FKN00GL3670,12
FKN00GL36507,12
FKN00GL68649,12
FKN00GL7335,12
FKN00GL28770,12
FKN00GL24230,12
FKN00GL6306,12
FKN00GL10321,12
FKN00GL3083,12
FKN00GL80784,12
FKN00GL20386,12
FKN00GL15079,12
FKN00GL2865,12
FKN00GL24113,12
FKN00GL63934,12
FKN00GL3209,12
FKN00GL20071,12
FKN00GL89378,12
FKN00GL32182,12
FKN00GL113054,12
FKN00GL5701,12
FKN00GL9272,12
FKN00GL16533,12
FKN00GL8131,12
FKN00GL138267,12
FKN00GL21753,12
FKN00GL48182,12
FKN00GL7362,12
FKN00GL53581,12
FKN00GL3268,12
FKN00GL11177,12
FKN00GL6539,12
FKN00GL59665,12
FKN00GL26363,12
FKN00GL26355,12
FKN00GL8857,12
FKN00GL15235,12
FKN00GL6235,12
FKN00GL30840,12
FKN00GL24109,12
FKN00GL3312,12
FKN00GL28038,12
FKN00GL48905,12
FKN00GL13448,12
FKN00GL33243,12
FKN00GL8816,12
FKN00GL40746,12
FKN00GL10595,12
FKN00GL19350,12
FKN00GL17285,12
FKN00GL49345,12
FKN00GL52672,12
FKN00GL0580,12
FKN00GL60902,12
FKN00GL11617,12
FKN00GL17327,12
FKN00GL33720,12
FKN00GL49847,12
FKN00GL54146,12
FKN00GL66344,12
FKN00GL14474,12
FKN00GL22726,12
FKN00GL5166,12
FKN00GL104843,12
FKN00GL5034,12
FKN00GL73104,12
FKN00GL5691,12
FKN00GL6108,12
FKN00GL54162,12
FKN00GL38689,12
FKN00GL12454,12
FKN00GL54129,12
FKN00GL66442,12
FKN00GL17738,12
FKN00GL17716,12
FKN00GL5053,12
FKN00GL25395,12
FKN00GL2311,12
FKN00GL5758,12
FKN00GL3761,12
FKN00GL37391,12
FKN00GL37439,12
FKN00GL102160,12
FKN00GL102161,12
FKN00GL36034,12
FKN00GL68222,12
FKN00GL9608,12
FKN00GL21231,12
FKN00GL26489,12
FKN00GL7591,12
FKN00GL3633,11
FKN00GL1298,11
FKN00GL0881,11
FKN00GL123587,11
FKN00GL10232,11
FKN00GL8445,11
FKN00GL14244,11
FKN00GL0166,11
FKN00GL37573,11
FKN00GL37362,11
FKN00GL17841,11
FKN00GL18632,11
FKN00GL35610,11
FKN00GL5748,11
FKN00GL6094,11
FKN00GL52785,11
FKN00GL3015,11
FKN00GL30363,11
FKN00GL61648,11
FKN00GL4519,11
FKN00GL26145,11
FKN00GL61150,11
FKN00GL2652,11
FKN00GL38127,11
FKN00GL0201,11
FKN00GL17789,11
FKN00GL6954,11
FKN00GL6945,11
FKN00GL17742,11
FKN00GL120338,11
FKN00GL44355,11
FKN00GL30527,11
FKN00GL4464,11
FKN00GL52512,11
FKN00GL5703,11
FKN00GL112240,11
FKN00GL0712,11
FKN00GL38744,11
FKN00GL19051,11
FKN00GL151053,11
FKN00GL28774,11
FKN00GL26002,11
FKN00GL8052,11
FKN00GL3135,11
FKN00GL159047,11
FKN00GL20632,11
FKN00GL47375,11
FKN00GL7931,11
FKN00GL2730,11
FKN00GL11120,11
FKN00GL9908,11
FKN00GL54124,11
FKN00GL17389,11
FKN00GL3937,11
FKN00GL11444,11
FKN00GL17359,11
FKN00GL82790,11
FKN00GL2856,11
FKN00GL31710,11
FKN00GL31543,11
FKN00GL6315,11
FKN00GL71519,11
FKN00GL0608,11
FKN00GL13366,11
FKN00GL57426,11
FKN00GL11796,11
FKN00GL14476,11
FKN00GL119670,11
FKN00GL65696,11
FKN00GL102806,11
FKN00GL33311,11
FKN00GL3978,11
FKN00GL125192,11
FKN00GL39902,11
FKN00GL23596,11
FKN00GL128580,11
FKN00GL149662,11
FKN00GL53617,11
FKN00GL9840,11
FKN00GL41714,11
FKN00GL4216,11
FKN00GL15037,11
FKN00GL12902,11
FKN00GL2458,11
FKN00GL6530,11
FKN00GL8187,11
FKN00GL59342,11
FKN00GL10499,11
FKN00GL10028,11
FKN00GL70776,11
FKN00GL75380,11
FKN00GL7064,11
FKN00GL65210,11
FKN00GL65173,11
FKN00GL7730,11
FKN00GL4836,11
FKN00GL36884,11
FKN00GL67993,11
FKN00GL18036,11
FKN00GL68187,11
FKN00GL3607,11
FKN00GL11738,11
FKN00GL2114,11
FKN00GL21114,11
FKN00GL23985,11
FKN00GL45914,11
FKN00GL104016,11
FKN00GL14087,11
FKN00GL8473,10
FKN00GL14137,10
FKN00GL57836,10
FKN00GL57738,10
FKN00GL26701,10
FKN00GL20861,10
FKN00GL45736,10
FKN00GL2994,10
FKN00GL4647,10
FKN00GL5097,10
FKN00GL18160,10
FKN00GL13278,10
FKN00GL68024,10
FKN00GL102163,10
FKN00GL3700,10
FKN00GL109724,10
FKN00GL26744,10
FKN00GL26782,10
FKN00GL5130,10
FKN00GL11821,10
FKN00GL149326,10
FKN00GL21950,10
FKN00GL32678,10
FKN00GL119987,10
FKN00GL21998,10
FKN00GL9410,10
FKN00GL9403,10
FKN00GL2814,10
FKN00GL7386,10
FKN00GL28190,10
FKN00GL6529,10
FKN00GL19613,10
FKN00GL16868,10
FKN00GL11021,10
FKN00GL22270,10
FKN00GL11162,10
FKN00GL94423,10
FKN00GL51996,10
FKN00GL17022,10
FKN00GL8796,10
FKN00GL17033,10
FKN00GL65244,10
FKN00GL76597,10
FKN00GL2455,10
FKN00GL114154,10
FKN00GL40276,10
FKN00GL19391,10
FKN00GL22303,10
FKN00GL5910,10
FKN00GL49627,10
FKN00GL1115,10
FKN00GL119791,10
FKN00GL22368,10
FKN00GL22486,10
FKN00GL105098,10
FKN00GL41988,10
FKN00GL5624,10
FKN00GL32531,10
FKN00GL41676,10
FKN00GL32589,10
FKN00GL25809,10
FKN00GL48126,10
FKN00GL4832,10
FKN00GL26378,10
FKN00GL19244,10
FKN00GL33447,10
FKN00GL4966,10
FKN00GL22527,10
FKN00GL22531,10
FKN00GL146295,10
FKN00GL49748,10
FKN00GL100140,10
FKN00GL27776,10
FKN00GL27678,10
FKN00GL33657,10
FKN00GL17314,10
FKN00GL17326,10
FKN00GL33638,10
FKN00GL54028,10
FKN00GL75598,10
FKN00GL49982,10
FKN00GL129258,10
FKN00GL1901,10
FKN00GL71521,10
FKN00GL63132,10
FKN00GL71645,10
FKN00GL130678,10
FKN00GL12647,10
FKN00GL53598,10
FKN00GL0371,10
FKN00GL20165,10
FKN00GL57049,10
FKN00GL15025,10
FKN00GL66324,10
FKN00GL2739,10
FKN00GL27389,10
FKN00GL5033,10
FKN00GL78166,10
FKN00GL34223,10
FKN00GL34270,10
FKN00GL10551,10
FKN00GL11697,10
FKN00GL11683,10
FKN00GL113147,10
FKN00GL47241,10
FKN00GL112039,10
FKN00GL15108,10
FKN00GL1903,10
FKN00GL19046,10
FKN00GL66423,10
FKN00GL54080,10
FKN00GL3495,10
FKN00GL17653,10
FKN00GL124679,10
FKN00GL54207,10
FKN00GL24742,10
FKN00GL0980,10
FKN00GL5040,10
FKN00GL111116,10
FKN00GL9585,10
FKN00GL72173,10
FKN00GL4457,10
FKN00GL5683,10
FKN00GL0476,10
FKN00GL103295,10
FKN00GL107929,10
FKN00GL56664,10
FKN00GL13758,10
FKN00GL7339,10
FKN00GL7806,10
FKN00GL1231,10
FKN00GL24805,10
FKN00GL9928,10
FKN00GL8569,10
FKN00GL1782,10
FKN00GL8340,10
FKN00GL23438,10
FKN00GL23454,10
FKN00GL52826,10
FKN00GL20826,10
FKN00GL1554,10
FKN00GL7249,10
FKN00GL52584,10
FKN00GL4690,10
FKN00GL1006,10
FKN00GL21421,10
FKN00GL9599,10
FKN00GL35596,10
FKN00GL17864,10
FKN00GL54478,10
FKN00GL54383,10
FKN00GL18562,10
FKN00GL17859,10
FKN00GL14054,10
FKN00GL23209,10
FKN00GL2529,10
FKN00GL36475,10
FKN00GL68630,10
FKN00GL1023,10
FKN00GL10027,9
FKN00GL94178,9
FKN00GL55172,9
FKN00GL36411,9
FKN00GL2335,9
FKN00GL7596,9
FKN00GL0646,9
FKN00GL4939,9
FKN00GL9338,9
FKN00GL73560,9
FKN00GL73513,9
FKN00GL22299,9
FKN00GL2804,9
FKN00GL18093,9
FKN00GL18073,9
FKN00GL102126,9
FKN00GL18113,9
FKN00GL123430,9
FKN00GL3598,9
FKN00GL18466,9
FKN00GL13235,9
FKN00GL84194,9
FKN00GL3684,9
FKN00GL36808,9
FKN00GL23237,9
FKN00GL23130,9
FKN00GL37435,9
FKN00GL13270,9
FKN00GL35785,9
FKN00GL35786,9
FKN00GL68083,9
FKN00GL68100,9
FKN00GL9337,9
FKN00GL47817,9
FKN00GL2855,9
FKN00GL21620,9
FKN00GL4743,9
FKN00GL112043,9
FKN00GL60648,9
FKN00GL2620,9
FKN00GL52216,9
FKN00GL7331,9
FKN00GL79363,9
FKN00GL1523,9
FKN00GL5232,9
FKN00GL0576,9
FKN00GL5477,9
FKN00GL24954,9
FKN00GL85580,9
FKN00GL12329,9
FKN00GL35707,9
FKN00GL8392,9
FKN00GL17937,9
FKN00GL35618,9
FKN00GL57811,9
FKN00GL0794,9
FKN00GL57721,9
FKN00GL0757,9
FKN00GL54473,9
FKN00GL54476,9
FKN00GL37662,9
FKN00GL17892,9
FKN00GL57654,9
FKN00GL111010,9
FKN00GL109364,9
FKN00GL9197,9
FKN00GL127897,9
FKN00GL61161,9
FKN00GL91867,9
FKN00GL7970,9
FKN00GL2948,9
FKN00GL105315,9
FKN00GL77018,9
FKN00GL5706,9
FKN00GL45904,9
FKN00GL24941,9
FKN00GL18725,9
FKN00GL9948,9
FKN00GL54482,9
FKN00GL61715,9
FKN00GL5259,9
FKN00GL5281,9
FKN00GL20849,9
FKN00GL10381,9
FKN00GL22526,9
FKN00GL74054,9
FKN00GL10016,9
FKN00GL24748,9
FKN00GL25431,9
FKN00GL3880,9
FKN00GL101844,9
FKN00GL38852,9
FKN00GL101897,9
FKN00GL1887,9
FKN00GL54486,9
FKN00GL54470,9
FKN00GL55868,9
FKN00GL55913,9
FKN00GL83261,9
FKN00GL30300,9
FKN00GL10539,9
FKN00GL155673,9
FKN00GL4527,9
FKN00GL15622,9
FKN00GL39077,9
FKN00GL39039,9
FKN00GL38938,9
FKN00GL11593,9
FKN00GL34351,9
FKN00GL8631,9
FKN00GL11456,9
FKN00GL3431,9
FKN00GL11590,9
FKN00GL5802,9
FKN00GL5083,9
FKN00GL2698,9
FKN00GL9597,9
FKN00GL44955,9
FKN00GL27726,9
FKN00GL4993,9
FKN00GL3066,9
FKN00GL90902,9
FKN00GL1569,9
FKN00GL30739,9
FKN00GL56719,9
FKN00GL23982,9
FKN00GL20678,9
FKN00GL9074,9
FKN00GL14237,9
FKN00GL69929,9
FKN00GL3909,9
FKN00GL0744,9
FKN00GL90621,9
FKN00GL5750,9
FKN00GL26070,9
FKN00GL20702,9
FKN00GL20676,9
FKN00GL30947,9
FKN00GL22703,9
FKN00GL78369,9
FKN00GL22673,9
FKN00GL17422,9
FKN00GL19009,9
FKN00GL13361,9
FKN00GL54258,9
FKN00GL39267,9
FKN00GL1455,9
FKN00GL31034,9
FKN00GL11694,9
FKN00GL2422,9
FKN00GL16075,9
FKN00GL71582,9
FKN00GL17371,9
FKN00GL122701,9
FKN00GL0267,9
FKN00GL98967,9
FKN00GL17393,9
FKN00GL66352,9
FKN00GL17351,9
FKN00GL33881,9
FKN00GL11792,9
FKN00GL58637,9
FKN00GL20384,9
FKN00GL24278,9
FKN00GL7147,9
FKN00GL20299,9
FKN00GL16342,9
FKN00GL118484,9
FKN00GL56456,9
FKN00GL8937,9
FKN00GL4243,9
FKN00GL89229,9
FKN00GL64048,9
FKN00GL32393,9
FKN00GL82315,9
FKN00GL125181,9
FKN00GL54029,9
FKN00GL50571,9
FKN00GL58480,9
FKN00GL5846,9
FKN00GL27485,9
FKN00GL64064,9
FKN00GL41989,9
FKN00GL41961,9
FKN00GL6425,9
FKN00GL8873,9
FKN00GL5164,9
FKN00GL2734,9
FKN00GL95710,9
FKN00GL53950,9
FKN00GL40435,9
FKN00GL3318,9
FKN00GL8209,9
FKN00GL75561,9
FKN00GL8739,9
FKN00GL51620,9
FKN00GL14433,9
FKN00GL5638,9
FKN00GL19759,9
FKN00GL8850,9
FKN00GL5019,9
FKN00GL40466,9
FKN00GL6558,9
FKN00GL32693,9
FKN00GL11641,9
FKN00GL1014,9
FKN00GL19672,9
FKN00GL16943,9
FKN00GL143827,9
FKN00GL68641,9
FKN00GL14805,9
FKN00GL48686,9
FKN00GL21803,9
FKN00GL9376,9
FKN00GL52316,9
FKN00GL5230,9
FKN00GL36157,9
FKN00GL14117,9
FKN00GL14127,9
FKN00GL36657,9
FKN00GL55338,8
FKN00GL36587,8
FKN00GL36585,8
FKN00GL57373,8
FKN00GL57364,8
FKN00GL18092,8
FKN00GL36925,8
FKN00GL36748,8
FKN00GL36191,8
FKN00GL36194,8
FKN00GL23155,8
FKN00GL124046,8
FKN00GL54939,8
FKN00GL5490,8
FKN00GL18535,8
FKN00GL123460,8
FKN00GL68113,8
FKN00GL5769,8
FKN00GL47814,8
FKN00GL105938,8
FKN00GL3311,8
FKN00GL114087,8
FKN00GL12548,8
FKN00GL32676,8
FKN00GL113909,8
FKN00GL41127,8
FKN00GL0356,8
FKN00GL8172,8
FKN00GL16967,8
FKN00GL13486,8
FKN00GL40810,8
FKN00GL5037,8
FKN00GL104850,8
FKN00GL78821,8
FKN00GL111604,8
FKN00GL134975,8
FKN00GL113738,8
FKN00GL8152,8
FKN00GL10584,8
FKN00GL5840,8
FKN00GL5032,8
FKN00GL5179,8
FKN00GL40724,8
FKN00GL11637,8
FKN00GL17027,8
FKN00GL17021,8
FKN00GL6536,8
FKN00GL114033,8
FKN00GL1956,8
FKN00GL40506,8
FKN00GL40495,8
FKN00GL76646,8
FKN00GL24272,8
FKN00GL3258,8
FKN00GL5178,8
FKN00GL5841,8
FKN00GL6552,8
FKN00GL17057,8
FKN00GL82060,8
FKN00GL2461,8
FKN00GL24569,8
FKN00GL11416,8
FKN00GL33487,8
FKN00GL110837,8
FKN00GL16675,8
FKN00GL4138,8
FKN00GL9859,8
FKN00GL103054,8
FKN00GL3347,8
FKN00GL39777,8
FKN00GL9683,8
FKN00GL1922,8
FKN00GL17286,8
FKN00GL39865,8
FKN00GL82323,8
FKN00GL13423,8
FKN00GL54046,8
FKN00GL66155,8
FKN00GL3361,8
FKN00GL0937,8
FKN00GL11793,8
FKN00GL12620,8
FKN00GL32324,8
FKN00GL111310,8
FKN00GL43461,8
FKN00GL107777,8
FKN00GL6326,8
FKN00GL43677,8
FKN00GL80813,8
FKN00GL24291,8
FKN00GL25922,8
FKN00GL8962,8
FKN00GL20300,8
FKN00GL144766,8
FKN00GL118445,8
FKN00GL3212,8
FKN00GL0396,8
FKN00GL113570,8
FKN00GL126280,8
FKN00GL1055,8
FKN00GL31179,8
FKN00GL24254,8
FKN00GL160383,8
FKN00GL4380,8
FKN00GL53378,8
FKN00GL25925,8
FKN00GL143086,8
FKN00GL122726,8
FKN00GL66323,8
FKN00GL54198,8
FKN00GL3398,8
FKN00GL102694,8
FKN00GL3409,8
FKN00GL0962,8
FKN00GL14517,8
FKN00GL62978,8
FKN00GL27670,8
FKN00GL23470,8
FKN00GL58048,8
FKN00GL1111,8
FKN00GL5059,8
FKN00GL66361,8
FKN00GL17369,8
FKN00GL17413,8
FKN00GL102677,8
FKN00GL102681,8
FKN00GL56052,8
FKN00GL66555,8
FKN00GL8042,8
FKN00GL7202,8
FKN00GL16010,8
FKN00GL111071,8
FKN00GL2716,8
FKN00GL66444,8
FKN00GL69935,8
FKN00GL69940,8
FKN00GL3427,8
FKN00GL3425,8
FKN00GL114529,8
FKN00GL5804,8
FKN00GL51520,8
FKN00GL39076,8
FKN00GL8028,8
FKN00GL129954,8
FKN00GL56714,8
FKN00GL11305,8
FKN00GL80295,8
FKN00GL100833,8
FKN00GL56708,8
FKN00GL56709,8
FKN00GL56693,8
FKN00GL4509,8
FKN00GL30564,8
FKN00GL15652,8
FKN00GL1752,8
FKN00GL86389,8
FKN00GL18970,8
FKN00GL2258,8
FKN00GL44684,8
FKN00GL56722,8
FKN00GL10544,8
FKN00GL1578,8
FKN00GL58073,8
FKN00GL108789,8
FKN00GL108779,8
FKN00GL49709,8
FKN00GL23595,8
FKN00GL0520,8
FKN00GL13688,8
FKN00GL45496,8
FKN00GL27790,8
FKN00GL25469,8
FKN00GL106168,8
FKN00GL124531,8
FKN00GL38408,8
FKN00GL10017,8
FKN00GL4555,8
FKN00GL30470,8
FKN00GL11272,8
FKN00GL29749,8
FKN00GL9775,8
FKN00GL4609,8
FKN00GL49739,8
FKN00GL12440,8
FKN00GL101939,8
FKN00GL76244,8
FKN00GL24939,8
FKN00GL9929,8
FKN00GL69386,8
FKN00GL38123,8
FKN00GL18731,8
FKN00GL115671,8
FKN00GL12318,8
FKN00GL17813,8
FKN00GL17828,8
FKN00GL60898,8
FKN00GL21432,8
FKN00GL15274,8
FKN00GL60969,8
FKN00GL7299,8
FKN00GL2391,8
FKN00GL15379,8
FKN00GL2938,8
FKN00GL26486,8
FKN00GL27772,8
FKN00GL27775,8
FKN00GL91870,8
FKN00GL2963,8
FKN00GL12774,8
FKN00GL46186,8
FKN00GL4617,8
FKN00GL5695,8
FKN00GL76219,8
FKN00GL24953,8
FKN00GL13288,8
FKN00GL35525,8
FKN00GL23238,8
FKN00GL54574,8
FKN00GL111004,8
FKN00GL23403,8
FKN00GL5570,8
FKN00GL18682,8
FKN00GL67857,8
FKN00GL17856,8
FKN00GL69121,8
FKN00GL57714,8
FKN00GL79398,8
FKN00GL47815,8
FKN00GL4787,8
FKN00GL7346,8
FKN00GL15100,8
FKN00GL77404,8
FKN00GL77238,8
FKN00GL75024,8
FKN00GL2631,8
FKN00GL47778,8
FKN00GL103618,8
FKN00GL105130,8
FKN00GL49617,8
FKN00GL79291,8
FKN00GL15216,8
FKN00GL15209,8
FKN00GL28941,8
FKN00GL18310,8
FKN00GL9985,8
FKN00GL25227,8
FKN00GL0053,8
FKN00GL28078,8
FKN00GL94104,8
FKN00GL8446,8
FKN00GL48969,8
FKN00GL7736,8
FKN00GL0673,8
FKN00GL57397,8
FKN00GL21713,8
FKN00GL111918,8
FKN00GL93455,8
FKN00GL60181,8
FKN00GL223394,8
FKN00GL59639,8
FKN00GL48854,8
FKN00GL48723,8
FKN00GL23764,8
FKN00GL111770,8
FKN00GL21825,8
FKN00GL105052,8
FKN00GL0835,8
FKN00GL36195,8
FKN00GL36196,8
FKN00GL36198,8
FKN00GL18229,8
FKN00GL182262,8
FKN00GL76243,8
FKN00GL131230,8
FKN00GL55135,8
FKN00GL18294,7
FKN00GL18319,7
FKN00GL9996,7
FKN00GL131506,7
FKN00GL25144,7
FKN00GL25155,7
FKN00GL10983,7
FKN00GL28200,7
FKN00GL55549,7
FKN00GL55541,7
FKN00GL132057,7
FKN00GL36540,7
FKN00GL18407,7
FKN00GL0104,7
FKN00GL25045,7
FKN00GL3672,7
FKN00GL18223,7
FKN00GL57740,7
FKN00GL10474,7
FKN00GL36168,7
FKN00GL48774,7
FKN00GL68434,7
FKN00GL36190,7
FKN00GL36187,7
FKN00GL18437,7
FKN00GL123484,7
FKN00GL12395,7
FKN00GL104461,7
FKN00GL24983,7
FKN00GL18154,7
FKN00GL36069,7
FKN00GL12346,7
FKN00GL18140,7
FKN00GL35936,7
FKN00GL68183,7
FKN00GL18108,7
FKN00GL3709,7
FKN00GL85200,7
FKN00GL49075,7
FKN00GL9417,7
FKN00GL78803,7
FKN00GL22214,7
FKN00GL7743,7
FKN00GL118168,7
FKN00GL7785,7
FKN00GL57698,7
FKN00GL12403,7
FKN00GL68219,7
FKN00GL37229,7
FKN00GL35876,7
FKN00GL8401,7
FKN00GL147938,7
FKN00GL37330,7
FKN00GL35925,7
FKN00GL35705,7
FKN00GL13269,7
FKN00GL55524,7
FKN00GL110935,7
FKN00GL35780,7
FKN00GL124201,7
FKN00GL3755,7
FKN00GL37576,7
FKN00GL1794,7
FKN00GL102449,7
